label	text_a
0	An  analysis  of  the  effect  of  emotional  speech  synthesis  on  non  task  oriented  dialogue  system.  This  paper  explores  the  effect  of  emotional  speech  synthesis  on  a  spoken  dialogue  system  when  the  dialogue  is  non-task-oriented.  Although  the  use  of  emotional  speech  responses  have  been  shown  to  be  effective  in  a  limited  domain,  e.g.,  scenario-based  and  counseling  dialogue,  the  effect  is  still  not  clear  in  the  non-task-oriented  dialogue  such  as  voice  chatting.  For  this  purpose,  we  constructed  a  simple  dialogue  system  with  example-  and  rule-based  dialogue  management.  In  the  system,  two  types  of  emotion  labeling  with  emotion  estimation  are  adopted,  i.e.,  system-driven  and  user-cooperative  emotion  labeling.  We  conducted  a  dialogue  experiment  where  subjects  evaluate  the  subjective  quality  of  the  system  and  the  dialogue  from  the  multiple  aspects  such  as  richness  of  the  dialogue  and  impression  of  the  agent.  We  then  analyze  and  discuss  the  results  and  show  the  advantage  of  using  appropriate  emotions  for  the  expressive  speech  responses  in  the  non-task-oriented  system.
0	Toward  real  time  accurate  fall  fall  recovery  detection  system  by  incorporating  activity  information.  This  study  presents  a  detailed  summary  of  automatic  fall  detection  system  based  on  wearable  sensor(s)  and  a  real-time  fall  detection  system  prototype  developed  based  on  Java  Expert  System  Shell  (JESS),  featuring  the  fall,  fall  recovery,  fall  direction  and  activity  status  before/after  fall.  Through  the  rule  sets  in  the  knowledge  base,  we  illustrate  how  the  activity  information  can  be  used  to  indicate  the  fall  recovery  and  fall  direction,  as  well  as  enhancing  the  accuracy  of  fall  detection.  The  system  has  been  validated  against  13  types  of  falls  and  12  ADLs  acquired  from  12  subjects.
0	A  tongue  activated  emergency  beacon  for  immobile  patients.  This  paper  reports  the  design  and  implementation  of  an  infrared  signal  transmitting  tongue  activated  emergency  beacon.  This  low-cost,  simple  and  reliable  device  can  help  immobile  patients  communicate  with  the  medical  staff  in  the  event  of  an  emergency  without  interfering  with  other  equipment.  The  physical  dimensions  of  this  device  were  minimized  to  provide  flexibility  and  suit  the  most  vulnerable  and  impaired  patients.  The  presented  sensor-microcontroller  configuration  results  in  a  robust  and  intelligent  functionality  that  would  allow  this  device  to  outperform  many  of  the  commercially  available  systems  used  in  similar  environments.
0	Racing  multi  objective  selection  probabilities.  In  the  context  of  Noisy  Multi-Objective  Optimization,  dealing  with  uncertainties  requires  the  decision  maker  to  define  some  preferences  about  how  to  handle  them,  through  some  statistics  (e.g.,  mean,  median)  to  be  used  to  evaluate  the  qualities  of  the  solutions,  and  define  the  corresponding  Pareto  set.  Approximating  these  statistics  requires  repeated  samplings  of  the  population,  drastically  increasing  the  overall  computational  cost.  To  tackle  this  issue,  this  paper  proposes  to  directly  estimate  the  probability  of  each  individual  to  be  selected,  using  some  Hoeffding  races  to  dynamically  assign  the  estimation  budget  during  the  selection  step.  The  proposed  racing  approach  is  validated  against  static  budget  approaches  with  NSGA-II  on  noisy  versions  of  the  ZDT  benchmark  functions.
0	Anti  logarithmic  quantization  for  data  reduction  in  multi  channel  intra  cortical  neural  recording  implants.  In  this  paper,  the  anti-logarithmic  quantization  approach,  recently  proposed  by  the  authors  to  be  used  in  multi-channel  implantable  neural  recording  systems  is  studied  in  depth.  It  is  shown  that  not  only  quantization  noise  does  not  degrade  the  quality  of  the  neural  signals  being  digitized,  it  helps  reject  significant  portion  of  their  noise  content.  As  a  result  of  using  this  method  of  quantization,  bitrate  and  power  saving  is  achieved  in  the  system  level.  To  quantify  the  properties  associated  with  the  proposed  quantization  method,  a  four-channel  proof-of-concept  prototype  is  developed  and  tested  using  prerecorded  neural  data.
0	Runtime  analysis  of  evolutionary  algorithms  on  randomly  constructed  high  density  satisfiable  3  cnf  formulas.  We  show  that  simple  mutation-only  evolutionary  algorithms  find  a  satisfying  assignment  on  two  similar  models  of  random  planted  3-CNF  Boolean  formulas  in  polynomial  time  with  high  probability  in  the  high  constraint  density  regime.  We  extend  the  analysis  to  random  formulas  conditioned  on  satisfiability  (i.e.,  the  so-called  filtered  distribution)  and  conclude  that  most  high-density  satisfiable  formulas  are  easy  for  simple  evolutionary  algorithms.  With  this  paper,  we  contribute  the  first  rigorous  study  of  randomized  search  heuristics  from  the  evolutionary  computation  community  on  well-studied  distributions  of  random  satisfiability  problems.
0	Population  exploration  on  genotype  networks  in  genetic  programming.  Redundant  genotype-to-phenotype  mappings  are  pervasive  in  evolutionary  computation.  Such  redundancy  allows  populations  to  expand  in  neutral  genotypic  regions  where  mutations  to  a  genotype  do  not  alter  the  phenotypic  outcome.  Genotype  networks  have  been  proposed  as  a  useful  framework  to  characterize  the  distribution  of  neutrality  among  genotypes  and  phenotypes.  In  this  study,  we  examine  a  simple  Genetic  Programming  model  that  has  a  finite  and  compact  genotype  space  by  characterizing  its  genotype  networks.  We  study  the  topology  of  individual  genotype  networks  underlying  unique  phenotypes,  investigate  the  genotypic  properties  as  vertices  in  genotype  networks,  and  discuss  the  correlation  of  these  network  properties  with  robustness  and  evolvability.  Using  GP  simulations  of  a  population,  we  demonstrate  how  an  evolutionary  population  diffuses  on  genotype  networks.
0	Maximizing  submodular  or  monotone  functions  under  partition  matroid  constraints  by  multi  objective  evolutionary  algorithms.  Many  important  problems  can  be  regarded  as  maximizing  submodular  functions  under  some  constraints.  A  simple  multi-objective  evolutionary  algorithm  called  GSEMO  has  been  shown  to  achieve  good  approximation  for  submodular  functions  efficiently.  While  there  have  been  many  studies  on  the  subject,  most  of  existing  run-time  analyses  for  GSEMO  assume  a  single  cardinality  constraint.  In  this  work,  we  extend  the  theoretical  results  to  partition  matroid  constraints  which  generalize  cardinality  constraints,  and  show  that  GSEMO  can  generally  guarantee  good  approximation  performance  within  polynomial  expected  run  time.  Furthermore,  we  conducted  experimental  comparison  against  a  baseline  GREEDY  algorithm  in  maximizing  undirected  graph  cuts  on  random  graphs,  under  various  partition  matroid  constraints.  The  results  show  GSEMO  tends  to  outperform  GREEDY  in  quadratic  run  time.
0	Bilingual  word  embeddings  from  parallel  and  non  parallel  corpora  for  cross  language  text  classification.  In  many  languages,  sparse  availability  of  resources  causes  numerous  challenges  for  textual  analysis  tasks.  Text  classification  is  one  of  such  standard  tasks  that  is  hindered  due  to  limited  availability  of  label  information  in  lowresource  languages.  Transferring  knowledge  (i.e.  label  information)  from  high-resource  to  low-resource  languages  might  improve  text  classification  as  compared  to  the  other  approaches  like  machine  translation.  We  introduce  BRAVE  (Bilingual  paRAgraph  VEctors),  a  model  to  learn  bilingual  distributed  representations  (i.e.  embeddings)  of  words  without  word  alignments  either  from  sentencealigned  parallel  or  label-aligned  non-parallel  document  corpora  to  support  cross-language  text  classification.  Empirical  analysis  shows  that  classification  models  trained  with  our  bilingual  embeddings  outperforms  other  stateof-the-art  systems  on  three  different  crosslanguage  text  classification  tasks.
0	Shared  components  topic  models.  With  a  few  exceptions,  extensions  to  latent  Dirichlet  allocation  (LDA)  have  focused  on  the  distribution  over  topics  for  each  document.  Much  less  attention  has  been  given  to  the  underlying  structure  of  the  topics  themselves.  As  a  result,  most  topic  models  generate  topics  independently  from  a  single  underlying  distribution  and  require  millions  of  parameters,  in  the  form  of  multinomial  distributions  over  the  vocabulary.  In  this  paper,  we  introduce  the  Shared  Components  Topic  Model  (SCTM),  in  which  each  topic  is  a  normalized  product  of  a  smaller  number  of  underlying  component  distributions.  Our  model  learns  these  component  distributions  and  the  structure  of  how  to  combine  subsets  of  them  into  topics.  The  SCTM  can  represent  topics  in  a  much  more  compact  representation  than  LDA  and  achieves  better  perplexity  with  fewer  parameters.
0	Unified  expectation  maximization.  We  present  a  general  framework  containing  a  graded  spectrum  of  Expectation  Maximization  (EM)  algorithms  called  Unified  Expectation  Maximization  (UEM.)  UEM  is  parameterized  by  a  single  parameter  and  covers  existing  algorithms  like  standard  EM  and  hard  EM,  constrained  versions  of  EM  such  as  Constraint-Driven  Learning  (Chang  et  al.,  2007)  and  Posterior  Regularization  (Ganchev  et  al.,  2010),  along  with  a  range  of  new  EM  algorithms.  For  the  constrained  inference  step  in  UEM  we  present  an  efficient  dual  projected  gradient  ascent  algorithm  which  generalizes  several  dual  decomposition  and  Lagrange  relaxation  algorithms  popularized  recently  in  the  NLP  literature  (Ganchev  et  al.,  2008;  Koo  et  al.,  2010;  Rush  and  Collins,  2011).  UEM  is  as  efficient  and  easy  to  implement  as  standard  EM.  Furthermore,  experiments  on  POS  tagging,  information  extraction,  and  word-alignment  show  that  often  the  best  performing  algorithm  in  the  UEM  family  is  a  new  algorithm  that  wasn't  available  earlier,  exhibiting  the  benefits  of  the  UEM  framework.
